split,writer_id,sample_count,feat__offset_count__median,feat__offset_count__iqr,feat__draw_segment_count__median,feat__draw_segment_count__iqr,feat__relocation_count__median,feat__relocation_count__iqr,feat__draw_run_count__median,feat__draw_run_count__iqr,feat__draw_fraction__median,feat__draw_fraction__iqr,feat__pen_lift_ratio__median,feat__pen_lift_ratio__iqr,feat__mean_draw_run_length__median,feat__mean_draw_run_length__iqr,feat__mean_draw_length_norm__median,feat__mean_draw_length_norm__iqr,feat__median_draw_length_norm__median,feat__median_draw_length_norm__iqr,feat__mean_relocation_length_norm__median,feat__mean_relocation_length_norm__iqr,feat__relocation_to_draw_ratio__median,feat__relocation_to_draw_ratio__iqr,feat__bbox_width__median,feat__bbox_width__iqr,feat__bbox_height__median,feat__bbox_height__iqr,feat__aspect_ratio__median,feat__aspect_ratio__iqr,feat__ink_density__median,feat__ink_density__iqr,feat__normalized_draw_path_length__median,feat__normalized_draw_path_length__iqr,feat__horizontal_motion_ratio__median,feat__horizontal_motion_ratio__iqr,feat__vertical_motion_ratio__median,feat__vertical_motion_ratio__iqr,feat__path_efficiency__median,feat__path_efficiency__iqr,feat__baseline_slope__median,feat__baseline_slope__iqr,feat__slant_proxy__median,feat__slant_proxy__iqr,feat__mean_abs_turn__median,feat__mean_abs_turn__iqr,feat__sharp_turn_ratio__median,feat__sharp_turn_ratio__iqr,assigned_cluster_id,pca_x,pca_y
train,123457,133,61.0,46.0,58.0,42.0,3.0,3.0,4.0,3.0,0.9444444444444444,0.021456905878110333,0.058823529411764705,0.02393403057119871,14.0,5.75,0.04642176628112793,0.030896153301000595,0.036261241883039474,0.02480643056333065,0.249334916472435,0.13061730563640594,0.3237139317141732,0.16623980369557245,74.0,60.0,43.0,15.0,1.7317073170731707,1.3076923076923075,0.06943667381336419,0.037702926844235256,2.5928210375821283,0.48283316929517195,0.5954729318618774,0.10353511571884155,0.6899281740188599,0.08165007829666138,0.2722421331996481,0.06732769665540164,-0.03476899451211016,0.15362736437962296,0.0,0.07141836732625961,0.5856359291680252,0.07116227696339283,0.06382978723404255,0.036106750392464686,0,-2.3511088603071024,-2.078870278387711
train,123458,205,83.0,69.0,79.0,65.0,4.0,5.0,5.0,5.0,0.9523809523809523,0.015741039715854055,0.05,0.01734566803059954,16.25,4.888888888888889,0.03554936498403549,0.02214672788977623,0.029375910758972168,0.018881263211369514,0.24119438230991364,0.1422746181488037,0.3907239433330884,0.21632562209109513,191.0,168.0,130.0,43.0,1.5779816513761469,1.0072787929335052,0.026083887150857302,0.010810263077994885,2.7754073045829157,0.5123524158138886,0.46632659435272217,0.09316354990005493,0.749882698059082,0.07697558403015137,0.27687048533186603,0.07626425703848141,-0.0023949745876539726,0.20959403021817652,0.0,0.0,0.484120892441791,0.0660857236524855,0.039473684210526314,0.028904428904428903,3,-2.916007442998123,5.389110954395987
train,123459,157,74.0,51.0,70.0,50.0,4.0,4.0,5.0,4.0,0.9473684210526315,0.021624472573839704,0.05555555555555555,0.024089306698002355,14.2,4.666666666666666,0.03503822535276413,0.022233039140701294,0.03324253857135773,0.022110411897301674,0.1807015836238861,0.1444971039891243,0.3277629831622964,0.20722893403208364,87.0,67.0,35.0,17.0,2.3823529411764706,1.5362962962962963,0.07517094839186896,0.033452151194182336,2.4413802838633307,0.34818088226857924,0.5649469494819641,0.09609270095825195,0.6379150152206421,0.10687083005905151,0.3301993979746787,0.08325331889462095,0.019035577655556146,0.0926185425811385,0.0,0.09998999536037445,0.5250611816133771,0.07047862270802396,0.04,0.029411764705882353,3,-3.0289721254796294,-0.020264657375116103
train,123460,37,79.0,47.0,77.0,45.0,3.0,3.0,4.0,3.0,0.9672131147540983,0.027267156862745057,0.03389830508474576,0.029180327868852458,22.2,12.2,0.03445332497358322,0.01781103014945984,0.029266441240906715,0.01403704471886158,0.13491064310073853,0.12420777976512909,0.21697127587161052,0.22471801931926016,114.0,66.0,56.0,43.0,2.0526315789473686,1.2708133971291866,0.05030739997264424,0.024307965889031967,2.707495988356534,0.5152176163749171,0.38779550790786743,0.06716740131378174,0.8188964128494263,0.06746101379394531,0.3114574248316108,0.07135554636858937,0.03786526486238402,0.1678408971213666,0.1483355164527893,0.10905918478965759,0.5501651061905755,0.06626699301375061,0.05,0.03244390539721043,3,-0.02889907953638514,1.4243540313655016
train,123461,42,90.5,47.25,90.5,46.75,1.0,2.0,2.0,2.0,0.9868215710074562,0.019868496283590664,0.013354700854700854,0.020271609833465504,40.875,38.875,0.03207644261419773,0.017358860932290554,0.02802279405295849,0.01900853868573904,0.15056780725717545,0.2761373147368431,0.09271520260936963,0.18753888925331294,146.5,86.25,85.0,56.25,1.8377463054187193,0.8837826987826989,0.04123935417635565,0.032379373074351056,2.984800914050731,0.6681748680753965,0.5086302757263184,0.10679950565099716,0.748538464307785,0.07621829211711884,0.2622073980531463,0.057762569698756816,-0.0015142823255700339,0.09646554125113116,0.0,0.1307862550020218,0.4729092942907455,0.053531465544399026,0.04379795396419438,0.020288874677172553,2,5.286053373189042,4.3817102392886325
train,123462,148,65.5,47.0,65.0,47.25,1.0,2.0,2.0,2.0,0.9829047340736412,0.023809523809523836,0.017392619479733817,0.024390243902439025,32.0,22.166666666666668,0.04963512904942036,0.028628471307456493,0.04646052420139313,0.02709144540131092,0.15644674003124237,0.2676177993416786,0.08023262413545593,0.13672351105068964,100.5,66.0,61.0,36.25,1.823225806451613,1.1459099389626115,0.06354917400250314,0.029393869343860103,3.097556544622771,0.6451243440282544,0.5072540640830994,0.11133717745542526,0.7355384528636932,0.0871514081954956,0.24609497841899378,0.06207586837053064,-0.006776246675074262,0.16216158949737344,0.0,0.15013398230075836,0.5229377939884006,0.06902438179743098,0.05235745614035088,0.024263456557958467,2,3.5506442655389097,0.025040032449659407
train,123464,146,63.0,55.0,62.0,54.0,2.0,1.0,3.0,1.0,0.9753843823373476,0.02912384915425492,0.025236844200302526,0.03056258676036786,24.333333333333332,17.895833333333332,0.044100893661379814,0.030040054582059383,0.041794296354055405,0.028320377226918936,0.14629210531711578,0.15305762737989426,0.10002548494237874,0.13900182938486527,103.0,86.0,50.0,28.5,2.05,1.433316614018612,0.06641704139080692,0.02508860225880738,2.824102212859716,0.5659321662030159,0.5866433680057526,0.09751695394515991,0.6976496577262878,0.08937287330627441,0.26834281475073407,0.07800320226015406,-0.015175957483468113,0.16774703177026123,0.0,0.0,0.5720146646549752,0.07579575922754078,0.06186224489795918,0.03503825136612021,0,1.4949596271258037,-1.6275101149227236
train,123466,152,71.5,62.5,68.5,59.0,3.0,4.0,4.0,4.0,0.9533333333333334,0.02137763140901472,0.04895104895104895,0.023441511015127377,16.833333333333336,5.532142857142857,0.039077650755643845,0.025330578442662954,0.034904224798083305,0.023877286817878485,0.2333383932709694,0.14851658791303635,0.30848556258562265,0.21082474576072327,110.0,102.75,51.5,19.25,2.3152777777777778,1.3973162475822054,0.053563726826966,0.02504862901874927,2.6311264617778916,0.46183572419048335,0.43574509024620056,0.13746169954538345,0.7763275802135468,0.11979794502258301,0.3193498556867872,0.08006045299579856,-0.012874987819514976,0.11062632908296345,0.0,0.13391055166721344,0.5409771725818882,0.07210582097411167,0.05555555555555555,0.029931215198165738,3,-2.471262649616245,0.6377574466236999
train,123467,203,72.0,63.0,69.0,59.5,3.0,3.0,4.0,3.0,0.9550561797752809,0.02061920802543671,0.047058823529411764,0.022685105774728417,16.0,6.7840909090909065,0.048900753259658813,0.02707909792661667,0.041521307080984116,0.023676658980548382,0.18882505595684052,0.123691126704216,0.20653010164633845,0.17741330197365351,92.0,63.0,50.0,21.0,1.7962962962962963,1.046708492009244,0.0710761798945502,0.021430837956170075,3.1583038000368404,0.8169606054460332,0.43128398060798645,0.08465239405632019,0.7766749262809753,0.08104419708251953,0.24176965021714436,0.0668208662596001,-0.01952433250582001,0.17773414676212387,0.0,0.0,0.5914843122164408,0.0622191725623209,0.0673076923076923,0.035768050842630336,0,-0.7515471375214022,-0.5616274823837986
train,123468,210,81.5,73.75,78.0,69.5,4.0,3.75,5.0,3.75,0.9519615384615384,0.01690321968564723,0.0504626092861387,0.018581359326004007,16.145833333333336,4.818181818181817,0.03298550471663475,0.022194027435034513,0.02990747708827257,0.022313658613711596,0.18089289963245392,0.1269410401582718,0.29498066352772334,0.17242450307474214,141.0,113.75,64.0,27.75,2.28021978021978,1.3333786794424403,0.04563330232742334,0.01883205899929681,2.5316042880995955,0.3549886921982943,0.5092867314815521,0.09651762247085571,0.7026493847370148,0.08301237225532532,0.3297043075325963,0.08774019318636644,0.07994280565711065,0.11618222430025268,0.09216395765542984,0.19996000826358795,0.5432548654702177,0.08802134875381107,0.06038674033149171,0.03242315838628443,3,-2.6333687025608468,1.9038572717602575
